time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
182744,1,BME_TEMP,18.950,C,18.95,55.55,1018.57
182744,1,BME_HUM,55.548,%,18.95,55.55,1018.57
182744,1,BME_PRESS,1018.575,hPa,18.95,55.55,1018.57
185086,1,MQ4_CH4,0.150,ppm,18.96,55.55,1018.57
185086,1,MQ136_H2S,0.424,ppm,18.96,55.55,1018.57
185086,1,MQ8_H2,0.049,ppm,18.96,55.55,1018.57
185086,1,MQ135_CO2,401.741,ppm,18.96,55.55,1018.57
185081,1,BME_TEMP,18.960,C,18.96,55.55,1018.57
185081,1,BME_HUM,55.550,%,18.96,55.55,1018.57
185081,1,BME_PRESS,1018.575,hPa,18.96,55.55,1018.57
187424,1,MQ4_CH4,0.136,ppm,18.97,55.55,1018.57
187424,1,MQ136_H2S,0.433,ppm,18.97,55.55,1018.57
187424,1,MQ8_H2,0.047,ppm,18.97,55.55,1018.57
187424,1,MQ135_CO2,401.735,ppm,18.97,55.55,1018.57
187419,1,BME_TEMP,18.970,C,18.97,55.55,1018.57
187419,1,BME_HUM,55.550,%,18.97,55.55,1018.57
187419,1,BME_PRESS,1018.572,hPa,18.97,55.55,1018.57
189762,1,MQ4_CH4,0.124,ppm,18.97,55.51,1018.54
189762,1,MQ136_H2S,0.424,ppm,18.97,55.51,1018.54
189762,1,MQ8_H2,0.044,ppm,18.97,55.51,1018.54
189762,1,MQ135_CO2,401.595,ppm,18.97,55.51,1018.54
189758,1,BME_TEMP,18.970,C,18.97,55.51,1018.54
189758,1,BME_HUM,55.506,%,18.97,55.51,1018.54
189758,1,BME_PRESS,1018.539,hPa,18.97,55.51,1018.54
192100,1,MQ4_CH4,0.112,ppm,18.98,55.48,1018.57
192100,1,MQ136_H2S,0.420,ppm,18.98,55.48,1018.57
192100,1,MQ8_H2,0.041,ppm,18.98,55.48,1018.57
192100,1,MQ135_CO2,401.484,ppm,18.98,55.48,1018.57
192096,1,BME_TEMP,18.980,C,18.98,55.48,1018.57
192096,1,BME_HUM,55.484,%,18.98,55.48,1018.57
192096,1,BME_PRESS,1018.570,hPa,18.98,55.48,1018.57
194439,1,MQ4_CH4,0.102,ppm,18.98,55.48,1018.54
194439,1,MQ136_H2S,0.405,ppm,18.98,55.48,1018.54
194439,1,MQ8_H2,0.039,ppm,18.98,55.48,1018.54
194439,1,MQ135_CO2,401.350,ppm,18.98,55.48,1018.54
194434,1,BME_TEMP,18.980,C,18.98,55.48,1018.54
194434,1,BME_HUM,55.484,%,18.98,55.48,1018.54
194434,1,BME_PRESS,1018.540,hPa,18.98,55.48,1018.54
196776,1,MQ4_CH4,0.093,ppm,18.98,55.48,1018.58
196776,1,MQ136_H2S,0.406,ppm,18.98,55.48,1018.58
196776,1,MQ8_H2,0.037,ppm,18.98,55.48,1018.58
196776,1,MQ135_CO2,401.261,ppm,18.98,55.48,1018.58
196771,1,BME_TEMP,18.980,C,18.98,55.48,1018.58
196771,1,BME_HUM,55.484,%,18.98,55.48,1018.58
196771,1,BME_PRESS,1018.582,hPa,18.98,55.48,1018.58
199114,1,MQ4_CH4,0.085,ppm,18.98,55.45,1018.60
199114,1,MQ136_H2S,0.406,ppm,18.98,55.45,1018.60
199114,1,MQ8_H2,0.035,ppm,18.98,55.45,1018.60
199114,1,MQ135_CO2,401.221,ppm,18.98,55.45,1018.60
199109,1,BME_TEMP,18.980,C,18.98,55.45,1018.60
199109,1,BME_HUM,55.452,%,18.98,55.45,1018.60
199109,1,BME_PRESS,1018.596,hPa,18.98,55.45,1018.60
201452,1,MQ4_CH4,0.077,ppm,18.99,55.46,1018.59
201452,1,MQ136_H2S,0.405,ppm,18.99,55.46,1018.59
201452,1,MQ8_H2,0.034,ppm,18.99,55.46,1018.59
201452,1,MQ135_CO2,401.136,ppm,18.99,55.46,1018.59
